Current Category,Current Title,Content Item,Proposed Category,Reasoning
Progressive delivery,Argo Rollouts,3.6. Additional resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 4. Routing traffic by using Argo Rollouts,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,4.1. Prerequisites,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,4.2. Configuring Argo Rollouts to route traffic by using OpenShift Routes,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,4.3. Additional resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 5. Routing traffic by using Argo Rollouts for OpenShift Service Mesh,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Sample deployment scenario,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,5.1. Configuring Argo Rollouts to route traffic by using OpenShift Service Mesh,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 6. Enabling support for a namespace-scoped Argo Rollouts installation,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,6.1. Configuring a namespace-scoped Argo Rollouts installation,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 7. Configuring traffic management and metric plugins in Argo Rollouts,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,7.1. Prerequisites,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,7.2. Enabling traffic management and metric plugins in Argo Rollouts,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,7.3. Additional resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 8. Enabling high availability support for Argo Rollouts,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,8.1. Configuring high availability for Argo Rollouts,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,Chapter 9. Using a cluster-scoped Argo Rollouts instance to manage rollout resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,9.1. Prerequisites,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,9.2. Configuring a cluster-scoped Argo Rollouts instance to manage rollout resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Progressive delivery,Argo Rollouts,9.3. Additional resources,Deploy & Manage Applications,Progressive delivery (Argo Rollouts) is a deployment pattern
Security,Security,Using security features to configure secure communication and protect the possibly sensitive data in...,Secure & Control Access,Security and secrets management
Security,Security,Chapter 1. Configuring secure communication with Redis,Secure & Control Access,Security and secrets management
Security,Security,1.1. Prerequisites,Secure & Control Access,Security and secrets management
Security,Security,1.2. Configuring TLS for Redis with autotls enabled,Secure & Control Access,Security and secrets management
Security,Security,1.3. Configuring TLS for Redis with autotls disabled,Secure & Control Access,Security and secrets management
Security,Security,Chapter 2. Managing secrets securely using Secrets Store CSI driver with GitOps,Secure & Control Access,Security and secrets management
Security,Security,2.1. Overview of managing secrets using Secrets Store CSI driver with GitOps,Secure & Control Access,Security and secrets management
Security,Security,2.1.1. Benefits,Secure & Control Access,Security and secrets management
Security,Security,2.2. Secrets store providers,Secure & Control Access,Security and secrets management
Security,Security,2.3. Configure AWS Secrets Manager on OpenShift with GitOps,Secure & Control Access,Security and secrets management
Security,Security,2.3.1. Storing AWS Secrets Manager resources in GitOps repository,Secure & Control Access,Security and secrets management
Security,Security,2.3.2. Configuring SSCSI driver to mount secrets from AWS Secrets Manager,Secure & Control Access,Security and secrets management
Security,Security,2.3.3. Configuring GitOps managed resources to use mounted secrets,Secure & Control Access,Security and secrets management
Security,Security,2.4. Configure HashiCorp Vault as a secrets provider on OpenShift with GitOps,Secure & Control Access,Security and secrets management
Security,Security,2.4.1. Installing the Vault CSI Provider using GitOps,Secure & Control Access,Security and secrets management
Security,Security,2.4.2. Initializing and configuring Vault to store a Secret,Secure & Control Access,Security and secrets management
Security,Security,"2.4.3. Managing Secrets, Policies, and Roles in Vault",Secure & Control Access,Security and secrets management
Security,Security,2.4.4. Configuring GitOps managed resources to use Vault-mounted secrets,Secure & Control Access,Security and secrets management
Security,Security,2.4.5. Verifying secret injection,Secure & Control Access,Security and secrets management
Security,Security,2.5. Additional resources,Secure & Control Access,Security and secrets management
Security,Security,Chapter 3. Masking sensitive annotations in the Argo CD Web UI,Secure & Control Access,Security and secrets management
Security,Security,3.1. Enabling sensitive annotations masking in the Argo CD Web UI,Secure & Control Access,Security and secrets management
Security,Security,3.2. Additional resources,Secure & Control Access,Security and secrets management
Reference,GitOps CLI (argocd) reference,Configuring the GitOps CLI and logging in to the Argo CD server in the default mode,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,Chapter 1. Configuring the GitOps CLI,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,1.1. Enabling tab completion,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,1.2. Additional resources,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,Chapter 2. Logging in to the Argo CD server in the default mode,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,2.1. Logging in to the Argo CD server,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,2.2. Additional resources,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,Chapter 3. GitOps argocd CLI reference,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.1. Basic syntax,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.1.1. Default mode,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.1.2. Core mode,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.2. Global options,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.3. Utility commands,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.3.1. argocd,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.3.2. version,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.3.3. help,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.3.4. completion,Reference,Reference documentation
Reference,GitOps CLI (argocd) reference,3.4. Additional resources,Reference,Reference documentation
Manage,GitOps workloads on infrastructure nodes,Running GitOps control plane workloads on infrastructure nodes,Deploy & Manage Applications,Managing applications
Manage,GitOps workloads on infrastructure nodes,Chapter 1. Running GitOps control plane workloads on infrastructure nodes,Deploy & Manage Applications,Managing applications
Manage,GitOps workloads on infrastructure nodes,1.1. Moving GitOps control plane workloads to infrastructure nodes,Deploy & Manage Applications,Managing applications
Manage,GitOps workloads on infrastructure nodes,1.2. Moving the GitOps Operator pod to infrastructure nodes,Deploy & Manage Applications,Managing applications
Manage,GitOps workloads on infrastructure nodes,1.3. Additional resources,Deploy & Manage Applications,Managing applications
Observability,Observability,Using observability features to view Argo CD logs and monitor the performance and health of Argo CD ...,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,Chapter 1. Logging,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,1.1. Viewing Argo CD logs,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,1.1.1. Storing and retrieving Argo CD logs,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,1.1.2. Additional resources,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,Chapter 2. Monitoring,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.1. Monitoring with GitOps dashboards,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.1.1. Accessing GitOps monitoring dashboards,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.2. Monitoring Argo CD instances,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.2.1. Prerequisites,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.2.2. Monitoring Argo CD health using Prometheus metrics,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.2.3. Disabling automatic scraping of metrics for Argo CD instances,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.2.4. Additional resources,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.3. Monitoring the GitOps Operator performance,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.3.1. Accessing the GitOps Operator metrics,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.3.2. Additional resources,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.4. Monitoring health information for application resources and deployments,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.4.1. Settings for environment labels and annotations,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,Environment labels,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,Environment annotations,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.4.2. Checking health information,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.5. Monitoring Argo CD custom resource workloads,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.5.1. Prerequisites,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.5.2. Enabling Monitoring for Argo CD custom resource workloads,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.5.3. Disabling Monitoring for Argo CD custom resource workloads,Monitor & Troubleshoot,Observability and monitoring
Observability,Observability,2.5.4. Additional resources,Monitor & Troubleshoot,Observability and monitoring
Troubleshoot,Troubleshooting issues,Troubleshooting topics for OpenShift GitOps and your cluster,Monitor & Troubleshoot,Troubleshooting content
Troubleshoot,Troubleshooting issues,Chapter 1. Issue: Auto-reboot during Argo CD sync with machine configurations,Monitor & Troubleshoot,Troubleshooting content
Troubleshoot,Troubleshooting issues,1.1. Solution: Enhance performance in machine configurations and Argo CD,Monitor & Troubleshoot,Troubleshooting content
Troubleshoot,Troubleshooting issues,1.2. Additional resources,Monitor & Troubleshoot,Troubleshooting content
